                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,1.4419,2.5693,1.9428,0.46164,0.37844,0.33037,0.16082,1.3897,3.9805,1.8045,0.0033209,0.0033209,0.0033209
1,1.3721,1.9984,1.824,0.3306,0.37567,0.2335,0.09893,1.567,32.123,2.0198,0.0066323,0.0066323,0.0066323
2,1.4883,2.0845,1.9226,0.2829,0.26265,0.1636,0.04853,1.8826,9.9871,2.4728,0.0099217,0.0099217,0.0099217
3,1.5534,2.2218,2.0061,0.34934,0.29279,0.25394,0.11807,1.755,27.059,2.2477,0.009901,0.009901,0.009901
4,1.5426,2.192,1.9887,0.44717,0.33173,0.31242,0.16098,1.5531,6.2624,2.0924,0.009901,0.009901,0.009901
5,1.4899,2.0505,1.9332,0.47004,0.43631,0.39932,0.18533,1.5748,2.5042,2.0671,0.009868,0.009868,0.009868
6,1.4812,1.9936,1.9147,0.48396,0.41227,0.42177,0.20161,1.4538,8.1157,1.9144,0.009835,0.009835,0.009835
7,1.4254,1.9248,1.8689,0.45825,0.42248,0.37554,0.18514,1.4813,2.966,1.9103,0.009802,0.009802,0.009802
8,1.3701,1.8239,1.8243,0.61108,0.42304,0.48608,0.27873,1.2864,2.1129,1.76,0.009769,0.009769,0.009769
9,1.3512,1.785,1.8081,0.59819,0.5253,0.56259,0.2996,1.2471,1.7411,1.6795,0.009736,0.009736,0.009736
10,1.3425,1.7348,1.8035,0.68357,0.47686,0.56521,0.32771,1.2591,1.8602,1.6941,0.009703,0.009703,0.009703
11,1.319,1.7032,1.7925,0.5819,0.4899,0.53263,0.30257,1.254,1.715,1.692,0.00967,0.00967,0.00967
12,1.3165,1.6829,1.7712,0.63002,0.50377,0.54376,0.31448,1.213,2.4557,1.6725,0.009637,0.009637,0.009637
13,1.2922,1.6305,1.7444,0.62175,0.49897,0.56945,0.32526,1.2286,1.8663,1.6887,0.009604,0.009604,0.009604
14,1.2732,1.5874,1.7375,0.594,0.50269,0.5282,0.29457,1.2704,1.838,1.683,0.009571,0.009571,0.009571
15,1.2535,1.5937,1.7202,0.60907,0.54898,0.57573,0.33981,1.2226,7.8149,1.6788,0.009538,0.009538,0.009538
16,1.2444,1.5694,1.7109,0.66009,0.57694,0.6133,0.37267,1.1734,1.4342,1.6111,0.009505,0.009505,0.009505
17,1.2339,1.5613,1.7057,0.68581,0.52637,0.60125,0.36871,1.1654,1.7291,1.6044,0.009472,0.009472,0.009472
18,1.2068,1.4939,1.6806,0.66563,0.54898,0.60115,0.35464,1.1831,2.0899,1.6166,0.009439,0.009439,0.009439
19,1.2298,1.4996,1.6925,0.69425,0.53929,0.61806,0.35888,1.203,1.5286,1.6226,0.009406,0.009406,0.009406
20,1.2243,1.4986,1.694,0.71479,0.55574,0.63612,0.38211,1.2024,1.3891,1.635,0.009373,0.009373,0.009373
21,1.1824,1.4397,1.6588,0.69926,0.57566,0.66046,0.41028,1.1372,1.4596,1.5649,0.00934,0.00934,0.00934
22,1.1826,1.4559,1.6557,0.71841,0.58496,0.65132,0.40848,1.1445,1.4031,1.5622,0.009307,0.009307,0.009307
23,1.1952,1.4103,1.6603,0.71561,0.57965,0.65224,0.39479,1.1535,1.2849,1.5517,0.009274,0.009274,0.009274
24,1.1717,1.3969,1.6363,0.76277,0.55436,0.66257,0.40317,1.1423,1.4341,1.5698,0.009241,0.009241,0.009241
25,1.1695,1.372,1.6333,0.74944,0.55436,0.65074,0.39314,1.1628,1.4759,1.5591,0.009208,0.009208,0.009208
26,1.1558,1.3645,1.6193,0.6765,0.61678,0.67785,0.42503,1.1633,1.2747,1.5811,0.009175,0.009175,0.009175
27,1.17,1.3927,1.6386,0.75291,0.58235,0.67616,0.41772,1.1339,1.4362,1.5483,0.009142,0.009142,0.009142
28,1.1587,1.3576,1.6252,0.73538,0.57266,0.67014,0.4197,1.1389,1.2807,1.5562,0.009109,0.009109,0.009109
29,1.1351,1.3199,1.6023,0.76007,0.55113,0.66079,0.41084,1.1195,1.6087,1.5408,0.009076,0.009076,0.009076
30,1.1441,1.3189,1.6115,0.72917,0.59634,0.68098,0.42807,1.1603,1.2357,1.5685,0.009043,0.009043,0.009043
31,1.1365,1.308,1.6104,0.74402,0.60172,0.69744,0.43163,1.0844,1.2376,1.4989,0.00901,0.00901,0.00901
32,1.1265,1.31,1.5847,0.65888,0.59419,0.64067,0.407,1.1029,1.2779,1.5084,0.008977,0.008977,0.008977
33,1.1245,1.3061,1.5976,0.75679,0.6028,0.69582,0.44561,1.0917,1.3961,1.5109,0.008944,0.008944,0.008944
34,1.1207,1.2611,1.5839,0.74933,0.61895,0.68854,0.43492,1.1335,1.9368,1.5376,0.008911,0.008911,0.008911
35,1.1059,1.2557,1.5707,0.73659,0.61106,0.69266,0.44058,1.0809,1.2159,1.4841,0.008878,0.008878,0.008878
36,1.1026,1.2399,1.5797,0.77015,0.60231,0.69967,0.44024,1.109,1.4207,1.4924,0.008845,0.008845,0.008845
37,1.1049,1.2272,1.5694,0.73843,0.61679,0.7078,0.44379,1.1197,1.3065,1.5143,0.008812,0.008812,0.008812
38,1.0968,1.2321,1.5617,0.72444,0.64047,0.71549,0.45324,1.0757,1.2584,1.476,0.008779,0.008779,0.008779
39,1.0636,1.1923,1.5466,0.7617,0.61588,0.70808,0.45766,1.0897,1.1276,1.5166,0.008746,0.008746,0.008746
40,1.0854,1.2206,1.5652,0.74697,0.59203,0.69423,0.45023,1.0917,1.3042,1.479,0.008713,0.008713,0.008713
41,1.0913,1.2135,1.5627,0.73957,0.63079,0.72341,0.46685,1.0677,1.2376,1.4703,0.00868,0.00868,0.00868
42,1.0715,1.1688,1.5467,0.76676,0.61572,0.7248,0.45791,1.0756,1.1151,1.4536,0.008647,0.008647,0.008647
43,1.0638,1.1854,1.5436,0.7424,0.64693,0.73371,0.47494,1.0469,1.3524,1.4497,0.008614,0.008614,0.008614
44,1.0847,1.1752,1.5399,0.74473,0.63121,0.72679,0.47231,1.0733,1.1363,1.4616,0.008581,0.008581,0.008581
45,1.0539,1.1867,1.5242,0.75961,0.65647,0.72914,0.47398,1.0862,1.1819,1.4864,0.008548,0.008548,0.008548
46,1.0445,1.1181,1.5186,0.75962,0.63186,0.73713,0.47815,1.0916,1.0759,1.4752,0.008515,0.008515,0.008515
47,1.0523,1.1532,1.5268,0.76857,0.65339,0.74234,0.48335,1.0552,1.0469,1.4425,0.008482,0.008482,0.008482
48,1.036,1.1442,1.5159,0.76302,0.65985,0.72347,0.45904,1.0647,1.0921,1.4414,0.008449,0.008449,0.008449
49,1.0418,1.1144,1.5193,0.7659,0.65124,0.74094,0.47923,1.0649,1.1299,1.474,0.008416,0.008416,0.008416
50,1.0533,1.1399,1.5242,0.76748,0.64693,0.74124,0.47352,1.0933,1.073,1.4713,0.008383,0.008383,0.008383
51,1.0454,1.1167,1.518,0.77266,0.63509,0.74835,0.48236,1.0887,1.0963,1.4775,0.00835,0.00835,0.00835
52,1.0324,1.1101,1.4994,0.72935,0.68353,0.74831,0.4824,1.0549,1.0492,1.4495,0.008317,0.008317,0.008317
53,1.02,1.0848,1.5002,0.74882,0.63617,0.73137,0.46307,1.0914,1.044,1.4748,0.008284,0.008284,0.008284
54,1.0132,1.0659,1.4808,0.78143,0.66523,0.75398,0.48471,1.048,0.99716,1.4463,0.008251,0.008251,0.008251
55,1.0226,1.0887,1.4827,0.73805,0.68353,0.76019,0.49926,1.0412,0.97362,1.419,0.008218,0.008218,0.008218
56,1.0249,1.066,1.4828,0.74305,0.65985,0.74183,0.47717,1.0737,1.0532,1.4489,0.008185,0.008185,0.008185
57,0.98765,1.0416,1.4687,0.75526,0.69107,0.76012,0.49781,1.0625,1.1521,1.4343,0.008152,0.008152,0.008152
58,1.0037,1.054,1.4764,0.76353,0.67427,0.74779,0.48486,1.048,1.0259,1.4253,0.008119,0.008119,0.008119
59,0.99857,1.0399,1.4702,0.77069,0.65447,0.75153,0.4975,1.0441,0.98482,1.4312,0.008086,0.008086,0.008086
60,0.98357,1.0377,1.4573,0.78306,0.66846,0.76051,0.512,1.0413,1.0412,1.421,0.008053,0.008053,0.008053
61,0.99648,1.0305,1.4642,0.75748,0.67922,0.75391,0.50013,1.0498,0.9981,1.4248,0.00802,0.00802,0.00802
62,0.98195,1.0188,1.457,0.77804,0.65339,0.74679,0.49844,1.032,0.98721,1.4238,0.007987,0.007987,0.007987
63,0.97264,1.0117,1.4507,0.76303,0.66202,0.7532,0.48888,1.0275,0.99168,1.4127,0.007954,0.007954,0.007954
64,0.97365,0.99783,1.4499,0.7894,0.65364,0.76446,0.51421,1.0204,0.98661,1.4083,0.007921,0.007921,0.007921
65,0.9697,0.98822,1.4471,0.80072,0.67041,0.77019,0.50937,1.0396,0.94676,1.432,0.007888,0.007888,0.007888
66,0.9586,0.95761,1.4304,0.81992,0.68613,0.77398,0.50488,1.041,0.98538,1.4384,0.007855,0.007855,0.007855
67,0.96309,0.97227,1.4346,0.77096,0.67394,0.77514,0.50878,1.029,0.9688,1.4095,0.007822,0.007822,0.007822
68,0.97851,0.9964,1.455,0.76219,0.68309,0.76238,0.50287,1.0398,1.034,1.4208,0.007789,0.007789,0.007789
69,0.93242,0.94799,1.4194,0.7746,0.69107,0.77211,0.51365,1.06,0.96094,1.437,0.007756,0.007756,0.007756
70,0.95281,0.97095,1.4468,0.76372,0.69214,0.77174,0.50639,1.0576,0.98742,1.4475,0.007723,0.007723,0.007723
71,0.96302,0.95294,1.441,0.77089,0.69176,0.77536,0.51363,1.0108,0.99765,1.3807,0.00769,0.00769,0.00769
72,0.95084,0.93278,1.4313,0.80983,0.66009,0.77255,0.50828,1.0458,0.93715,1.4204,0.007657,0.007657,0.007657
73,0.96746,0.96281,1.4415,0.77078,0.69214,0.77243,0.50516,1.0546,0.97554,1.4414,0.007624,0.007624,0.007624
74,0.95605,0.94579,1.4273,0.82129,0.67169,0.78521,0.5212,1.028,0.92856,1.4082,0.007591,0.007591,0.007591
75,0.94033,0.92058,1.4233,0.76236,0.70183,0.78035,0.52198,1.0272,0.9536,1.4199,0.007558,0.007558,0.007558
76,0.92472,0.89649,1.4057,0.78398,0.66416,0.77129,0.50916,1.0423,0.98961,1.4267,0.007525,0.007525,0.007525
77,0.92607,0.9077,1.4141,0.78221,0.69429,0.77756,0.51592,1.0555,0.99078,1.4298,0.007492,0.007492,0.007492
78,0.92694,0.89097,1.4024,0.782,0.71259,0.79185,0.52164,1.0697,0.92485,1.4504,0.007459,0.007459,0.007459
79,0.94212,0.91021,1.4161,0.80171,0.71044,0.79744,0.5204,1.0832,0.92174,1.4529,0.007426,0.007426,0.007426
80,0.93287,0.91853,1.4113,0.8096,0.69107,0.79015,0.51765,1.0618,0.89651,1.4583,0.007393,0.007393,0.007393
81,0.90627,0.88587,1.3859,0.79356,0.71044,0.78931,0.52223,1.0513,0.89437,1.4363,0.00736,0.00736,0.00736
82,0.9211,0.89282,1.402,0.78833,0.71367,0.78506,0.52734,1.0414,0.95879,1.4304,0.007327,0.007327,0.007327
83,0.90148,0.86531,1.3984,0.75344,0.72659,0.78693,0.51722,1.0548,0.92312,1.4377,0.007294,0.007294,0.007294
