                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,1.4742,2.7229,2.0139,0.43908,0.33687,0.27485,0.12276,1.8989,2.6246,2.4225,0.0033153,0.0033153,0.0033153
1,1.4131,1.9705,1.8968,0.42617,0.36074,0.3077,0.1556,2.0086,2.5613,2.5408,0.0066157,0.0066157,0.0066157
2,1.5185,2.1402,2.0015,0.18265,0.27682,0.13515,0.04227,2.2624,6.8022,3.1119,0.0098832,0.0098832,0.0098832
3,1.6008,2.306,2.0695,0.15301,0.28647,0.10806,0.03386,2.2342,4.6035,2.8578,0.0098515,0.0098515,0.0098515
4,1.5871,2.2165,2.0494,0.39297,0.44297,0.35986,0.15299,1.9251,3.4169,2.5899,0.0098515,0.0098515,0.0098515
5,1.486,2.018,1.9739,0.44021,0.45358,0.39825,0.19101,1.9426,2.1448,2.6135,0.009802,0.009802,0.009802
6,1.4587,1.9579,1.944,0.48639,0.32153,0.30693,0.15267,1.8783,2.4701,2.4632,0.0097525,0.0097525,0.0097525
7,1.4526,1.9282,1.9283,0.53519,0.35544,0.38173,0.18283,1.8529,2.2672,2.3687,0.009703,0.009703,0.009703
8,1.4017,1.8268,1.892,0.46965,0.41114,0.38178,0.19654,1.7531,2.1549,2.3358,0.0096535,0.0096535,0.0096535
9,1.3876,1.8074,1.8802,0.52177,0.49337,0.4354,0.20488,1.8753,2.3834,2.5425,0.009604,0.009604,0.009604
10,1.3628,1.7347,1.8532,0.56474,0.50592,0.50598,0.25221,1.8121,2.019,2.4319,0.0095545,0.0095545,0.0095545
11,1.3534,1.7097,1.8279,0.66205,0.49886,0.57487,0.2896,1.8021,1.8154,2.3653,0.009505,0.009505,0.009505
12,1.3279,1.665,1.8191,0.72579,0.47741,0.53791,0.28507,1.6903,1.954,2.2271,0.0094555,0.0094555,0.0094555
13,1.3263,1.6385,1.8127,0.67649,0.50928,0.57785,0.31411,1.7189,1.7084,2.253,0.009406,0.009406,0.009406
14,1.3014,1.5857,1.7943,0.64546,0.5167,0.57377,0.31091,1.6886,1.7484,2.251,0.0093565,0.0093565,0.0093565
15,1.3166,1.5982,1.8003,0.75025,0.50398,0.59444,0.32205,1.6738,1.6597,2.175,0.009307,0.009307,0.009307
16,1.287,1.5512,1.775,0.66387,0.50928,0.5574,0.29924,1.7298,1.774,2.3003,0.0092575,0.0092575,0.0092575
17,1.2855,1.5238,1.7837,0.69983,0.56764,0.60941,0.3166,1.706,1.6483,2.2097,0.009208,0.009208,0.009208
18,1.2645,1.4639,1.7519,0.71544,0.5252,0.58762,0.30867,1.6936,1.6753,2.2385,0.0091585,0.0091585,0.0091585
19,1.2708,1.4857,1.7591,0.72779,0.52481,0.63498,0.34193,1.6465,1.6013,2.1345,0.009109,0.009109,0.009109
20,1.2531,1.4457,1.7453,0.67456,0.57825,0.64196,0.3514,1.6514,1.5162,2.1297,0.0090595,0.0090595,0.0090595
21,1.2508,1.4232,1.7428,0.67248,0.55703,0.62473,0.31903,1.7044,1.6247,2.1946,0.00901,0.00901,0.00901
22,1.2414,1.4236,1.7431,0.70091,0.5809,0.63866,0.35732,1.6256,1.5272,2.1837,0.0089605,0.0089605,0.0089605
23,1.2188,1.3847,1.7282,0.6899,0.56499,0.62337,0.34557,1.6746,1.585,2.2334,0.008911,0.008911,0.008911
24,1.2222,1.3597,1.7163,0.75339,0.62865,0.68891,0.37226,1.6261,1.4703,2.1755,0.0088615,0.0088615,0.0088615
25,1.2089,1.3802,1.7045,0.73671,0.59947,0.67699,0.37785,1.6278,1.4396,2.1383,0.008812,0.008812,0.008812
26,1.2133,1.3579,1.7191,0.70055,0.57711,0.63539,0.35745,1.5723,1.5057,2.0698,0.0087625,0.0087625,0.0087625
27,1.1945,1.3344,1.695,0.70181,0.60555,0.65234,0.35641,1.633,1.493,2.1684,0.008713,0.008713,0.008713
28,1.1925,1.2983,1.6865,0.79551,0.54689,0.65971,0.36213,1.5841,1.4854,2.0694,0.0086635,0.0086635,0.0086635
29,1.179,1.2744,1.6626,0.74841,0.56813,0.66931,0.36844,1.6253,1.4076,2.1591,0.008614,0.008614,0.008614
30,1.197,1.2937,1.6811,0.72186,0.60212,0.69658,0.38688,1.6003,1.3441,2.0496,0.0085645,0.0085645,0.0085645
31,1.1921,1.2582,1.6726,0.75315,0.58621,0.66067,0.3738,1.5815,1.4207,2.0756,0.008515,0.008515,0.008515
32,1.1526,1.2249,1.6623,0.76938,0.61059,0.68814,0.38077,1.6128,1.3933,2.0607,0.0084655,0.0084655,0.0084655
33,1.1754,1.224,1.662,0.71438,0.63395,0.68555,0.37404,1.6051,1.3901,2.0522,0.008416,0.008416,0.008416
34,1.1612,1.2306,1.6612,0.72574,0.59151,0.65178,0.36248,1.5717,1.4743,2.1008,0.0083665,0.0083665,0.0083665
35,1.1552,1.2002,1.6508,0.73876,0.58355,0.67329,0.3817,1.5616,1.4161,2.0552,0.008317,0.008317,0.008317
36,1.161,1.2202,1.6496,0.77473,0.59295,0.6921,0.3958,1.5779,1.3678,2.0731,0.0082675,0.0082675,0.0082675
37,1.1333,1.1803,1.6254,0.80189,0.59947,0.70945,0.39387,1.5628,1.3752,1.9961,0.008218,0.008218,0.008218
38,1.1379,1.1693,1.6267,0.76502,0.61538,0.70432,0.39189,1.5637,1.3727,2.0224,0.0081685,0.0081685,0.0081685
39,1.1444,1.163,1.6478,0.76759,0.63926,0.71819,0.41173,1.5915,1.3106,2.0756,0.008119,0.008119,0.008119
40,1.137,1.1511,1.6313,0.7831,0.6366,0.7211,0.41065,1.5644,1.2788,2.0338,0.0080695,0.0080695,0.0080695
41,1.1258,1.1106,1.6196,0.75333,0.6366,0.69786,0.39681,1.5675,1.324,2.0284,0.00802,0.00802,0.00802
42,1.1231,1.1019,1.612,0.73008,0.67639,0.72598,0.40631,1.5578,1.2557,2.028,0.0079705,0.0079705,0.0079705
43,1.0993,1.1023,1.597,0.77313,0.63395,0.71966,0.41604,1.5614,1.2674,2.014,0.007921,0.007921,0.007921
44,1.096,1.0816,1.5907,0.71558,0.64456,0.69278,0.39767,1.5746,1.3056,2.0343,0.0078715,0.0078715,0.0078715
45,1.0907,1.0605,1.5851,0.78129,0.64721,0.72992,0.41779,1.4986,1.268,1.967,0.007822,0.007822,0.007822
46,1.0947,1.0643,1.5895,0.80962,0.6204,0.70777,0.41155,1.542,1.2725,2.0347,0.0077725,0.0077725,0.0077725
47,1.0875,1.0536,1.5873,0.77953,0.62865,0.73569,0.42622,1.5175,1.218,1.988,0.007723,0.007723,0.007723
48,1.0884,1.0359,1.5742,0.78628,0.65384,0.73257,0.42534,1.5191,1.2324,1.9595,0.0076735,0.0076735,0.0076735
49,1.0649,1.0255,1.5728,0.77653,0.68435,0.75239,0.44066,1.5327,1.1771,1.9829,0.007624,0.007624,0.007624
50,1.0845,1.0497,1.572,0.80696,0.67639,0.75444,0.43888,1.5116,1.1996,1.9818,0.0075745,0.0075745,0.0075745
51,1.0504,1.0076,1.5583,0.78649,0.66578,0.73707,0.42617,1.5537,1.2018,1.9995,0.007525,0.007525,0.007525
52,1.0575,0.99019,1.558,0.80567,0.66048,0.74603,0.42172,1.5984,1.1589,2.0554,0.0074755,0.0074755,0.0074755
53,1.0492,0.98618,1.5475,0.74708,0.687,0.73564,0.43167,1.4924,1.1961,1.9709,0.007426,0.007426,0.007426
54,1.0482,0.97592,1.5442,0.81019,0.66313,0.74265,0.43281,1.5313,1.221,2.0132,0.0073765,0.0073765,0.0073765
55,1.0518,0.96395,1.5335,0.76626,0.66313,0.74202,0.44398,1.5006,1.1869,1.9855,0.007327,0.007327,0.007327
56,1.0268,0.96454,1.5167,0.84959,0.66578,0.76149,0.45319,1.5003,1.189,1.9795,0.0072775,0.0072775,0.0072775
57,1.0242,0.94218,1.5184,0.8095,0.67639,0.7591,0.45178,1.5303,1.1519,2.0115,0.007228,0.007228,0.007228
58,1.0096,0.93218,1.5119,0.84587,0.64721,0.73997,0.44976,1.4912,1.2033,1.9598,0.0071785,0.0071785,0.0071785
59,1.0229,0.93121,1.5131,0.80169,0.69761,0.76379,0.45528,1.4863,1.114,1.9829,0.007129,0.007129,0.007129
60,1.0138,0.90859,1.5072,0.8171,0.67544,0.75874,0.45515,1.513,1.1254,2.0115,0.0070795,0.0070795,0.0070795
61,0.99754,0.88867,1.5012,0.81684,0.67429,0.76078,0.45586,1.4869,1.0874,1.9551,0.00703,0.00703,0.00703
62,1.0042,0.911,1.4986,0.80215,0.70027,0.77271,0.46705,1.4668,1.1075,1.9264,0.0069805,0.0069805,0.0069805
63,1.0015,0.87033,1.4971,0.79162,0.71618,0.77074,0.44942,1.5212,1.0628,1.9995,0.006931,0.006931,0.006931
64,0.99082,0.87342,1.493,0.78493,0.7067,0.74982,0.46058,1.4912,1.0759,1.9877,0.0068815,0.0068815,0.0068815
65,0.98402,0.86226,1.4902,0.79289,0.70067,0.76984,0.46054,1.4821,1.0892,1.948,0.006832,0.006832,0.006832
66,0.97108,0.85321,1.4689,0.83062,0.687,0.77508,0.46221,1.4667,1.0931,1.9452,0.0067825,0.0067825,0.0067825
67,0.95784,0.84394,1.4645,0.81475,0.70027,0.77406,0.46238,1.5009,1.093,1.9924,0.006733,0.006733,0.006733
68,0.95223,0.82633,1.4559,0.79822,0.69253,0.76974,0.4727,1.4986,1.0714,1.9761,0.0066835,0.0066835,0.0066835
69,0.96222,0.84198,1.4581,0.85381,0.68162,0.76871,0.46695,1.4809,1.0939,1.9627,0.006634,0.006634,0.006634
70,0.94938,0.8188,1.4541,0.76224,0.72281,0.7587,0.46617,1.4965,1.0691,1.9776,0.0065845,0.0065845,0.0065845
71,0.93321,0.79271,1.4314,0.79251,0.69231,0.76382,0.45765,1.5213,1.1056,2.0326,0.006535,0.006535,0.006535
72,0.92921,0.79557,1.4334,0.82524,0.67638,0.77534,0.45638,1.5081,1.1279,1.9844,0.0064855,0.0064855,0.0064855
73,0.93655,0.79224,1.4417,0.89172,0.67905,0.78137,0.47365,1.4837,1.0559,1.9678,0.006436,0.006436,0.006436
